# --- TEST_START: 1746911578 ---
prometheus,0.00%,59.48MiB / 30.25GiB,1.02MB / 2.97MB
prometheus,0.00%,60.3MiB / 30.25GiB,1.15MB / 2.98MB
backend-a-1,0.21%,541.8MiB / 30.25GiB,1.68MB / 1.81MB
backend-b-1,0.18%,440.2MiB / 30.25GiB,1.58MB / 1.7MB
grafana,1.06%,77.73MiB / 30.25GiB,41.7kB / 85.6kB
myservice,0.19%,578.2MiB / 30.25GiB,27.7kB / 594kB
node-exporter,0.00%,11.62MiB / 30.25GiB,28.9kB / 539kB
confident_ptolemy,0.08%,1GiB / 30.25GiB,3.51MB / 3.35MB
prometheus,0.34%,60.31MiB / 30.25GiB,1.18MB / 2.98MB
backend-a-1,0.14%,541.8MiB / 30.25GiB,1.68MB / 1.81MB
backend-b-1,0.25%,440.1MiB / 30.25GiB,1.58MB / 1.7MB
grafana,1.19%,77.73MiB / 30.25GiB,41.7kB / 85.6kB
myservice,0.12%,580.3MiB / 30.25GiB,28.5kB / 611kB
node-exporter,0.00%,11.62MiB / 30.25GiB,28.9kB / 539kB
confident_ptolemy,0.12%,1GiB / 30.25GiB,3.51MB / 3.35MB
prometheus,0.00%,60.34MiB / 30.25GiB,1.18MB / 2.98MB
backend-a-1,0.16%,541.8MiB / 30.25GiB,1.68MB / 1.81MB
backend-b-1,0.37%,440.2MiB / 30.25GiB,1.58MB / 1.7MB
grafana,1.09%,77.73MiB / 30.25GiB,41.7kB / 85.6kB
myservice,0.12%,580.2MiB / 30.25GiB,28.5kB / 611kB
node-exporter,0.00%,11.28MiB / 30.25GiB,29.6kB / 553kB
confident_ptolemy,0.07%,1GiB / 30.25GiB,3.51MB / 3.35MB
prometheus,0.65%,60.43MiB / 30.25GiB,1.21MB / 2.98MB
backend-a-1,0.12%,541.8MiB / 30.25GiB,1.68MB / 1.81MB
backend-b-1,0.12%,440.1MiB / 30.25GiB,1.58MB / 1.7MB
grafana,0.97%,77.73MiB / 30.25GiB,41.9kB / 85.8kB
myservice,0.14%,580.3MiB / 30.25GiB,29.2kB / 628kB
node-exporter,1.34%,12.03MiB / 30.25GiB,30.3kB / 568kB
confident_ptolemy,0.08%,1.035GiB / 30.25GiB,3.51MB / 3.35MB
prometheus,0.15%,60.43MiB / 30.25GiB,1.23MB / 2.98MB
backend-a-1,0.18%,541.8MiB / 30.25GiB,1.68MB / 1.81MB
backend-b-1,0.12%,440.1MiB / 30.25GiB,1.58MB / 1.7MB
grafana,1.16%,77.73MiB / 30.25GiB,41.9kB / 85.8kB
myservice,0.58%,580.4MiB / 30.25GiB,29.9kB / 645kB
node-exporter,0.00%,11.93MiB / 30.25GiB,30.3kB / 568kB
confident_ptolemy,0.15%,1.032GiB / 30.25GiB,3.51MB / 3.35MB
prometheus,0.00%,60.45MiB / 30.25GiB,1.24MB / 2.98MB
backend-a-1,0.12%,541.8MiB / 30.25GiB,1.68MB / 1.81MB
backend-b-1,0.19%,440.1MiB / 30.25GiB,1.58MB / 1.7MB
grafana,0.99%,77.74MiB / 30.25GiB,41.9kB / 85.8kB
myservice,0.11%,580.3MiB / 30.25GiB,29.9kB / 645kB
node-exporter,0.00%,11.63MiB / 30.25GiB,31.1kB / 582kB
confident_ptolemy,0.09%,1.032GiB / 30.25GiB,3.51MB / 3.35MB
prometheus,0.79%,60.46MiB / 30.25GiB,1.27MB / 2.98MB
backend-a-1,0.11%,541.8MiB / 30.25GiB,1.68MB / 1.81MB
backend-b-1,0.11%,440.1MiB / 30.25GiB,1.58MB / 1.7MB
grafana,1.24%,77.86MiB / 30.25GiB,42kB / 85.9kB
myservice,0.20%,580.3MiB / 30.25GiB,30.7kB / 662kB
node-exporter,0.00%,11.63MiB / 30.25GiB,31.1kB / 582kB
confident_ptolemy,0.10%,1.032GiB / 30.25GiB,3.51MB / 3.35MB
prometheus,0.00%,60.45MiB / 30.25GiB,1.27MB / 2.98MB
backend-a-1,0.13%,541.8MiB / 30.25GiB,1.68MB / 1.81MB
backend-b-1,0.13%,446.3MiB / 30.25GiB,1.58MB / 1.7MB
grafana,1.10%,77.73MiB / 30.25GiB,42kB / 85.9kB
myservice,0.24%,580.4MiB / 30.25GiB,30.7kB / 662kB
node-exporter,0.01%,11.69MiB / 30.25GiB,31.8kB / 597kB
confident_ptolemy,0.10%,1.032GiB / 30.25GiB,3.51MB / 3.35MB
prometheus,0.00%,60.45MiB / 30.25GiB,1.3MB / 2.98MB
backend-a-1,0.13%,541.8MiB / 30.25GiB,1.68MB / 1.81MB
backend-b-1,0.90%,446.5MiB / 30.25GiB,1.58MB / 1.7MB
grafana,1.10%,77.73MiB / 30.25GiB,42kB / 85.9kB
myservice,0.32%,580.5MiB / 30.25GiB,31.4kB / 679kB
node-exporter,0.00%,12.01MiB / 30.25GiB,32.5kB / 611kB
confident_ptolemy,0.11%,1.032GiB / 30.25GiB,3.51MB / 3.35MB
prometheus,0.26%,60.45MiB / 30.25GiB,1.34MB / 2.99MB
backend-a-1,0.13%,543.7MiB / 30.25GiB,1.68MB / 1.81MB
backend-b-1,0.12%,447.7MiB / 30.25GiB,1.58MB / 1.7MB
grafana,1.11%,77.73MiB / 30.25GiB,42kB / 85.9kB
myservice,0.34%,580.5MiB / 30.25GiB,32.2kB / 696kB
node-exporter,0.00%,12.01MiB / 30.25GiB,32.5kB / 611kB
confident_ptolemy,0.13%,1.032GiB / 30.25GiB,3.51MB / 3.35MB
prometheus,0.00%,60.46MiB / 30.25GiB,1.34MB / 2.99MB
backend-a-1,0.17%,543.6MiB / 30.25GiB,1.68MB / 1.81MB
backend-b-1,0.13%,447.7MiB / 30.25GiB,1.58MB / 1.7MB
grafana,1.22%,77.73MiB / 30.25GiB,42kB / 85.9kB
myservice,0.19%,580.5MiB / 30.25GiB,32.2kB / 696kB
node-exporter,0.00%,12.15MiB / 30.25GiB,33.3kB / 626kB
confident_ptolemy,0.09%,1.032GiB / 30.25GiB,3.51MB / 3.35MB
prometheus,0.52%,60.47MiB / 30.25GiB,1.37MB / 2.99MB
backend-a-1,0.11%,543.6MiB / 30.25GiB,1.68MB / 1.81MB
backend-b-1,0.12%,447.7MiB / 30.25GiB,1.58MB / 1.7MB
grafana,1.39%,77.73MiB / 30.25GiB,42.1kB / 86.1kB
myservice,0.37%,580.6MiB / 30.25GiB,32.9kB / 712kB
node-exporter,0.00%,12.05MiB / 30.25GiB,34kB / 641kB
confident_ptolemy,0.08%,1.032GiB / 30.25GiB,3.51MB / 3.35MB
prometheus,0.09%,60.46MiB / 30.25GiB,1.38MB / 2.99MB
backend-a-1,1.04%,543.6MiB / 30.25GiB,1.68MB / 1.81MB
backend-b-1,0.12%,447.7MiB / 30.25GiB,1.58MB / 1.7MB
grafana,1.09%,77.73MiB / 30.25GiB,42.1kB / 86.1kB
myservice,1.40%,582.7MiB / 30.25GiB,33.7kB / 729kB
node-exporter,0.00%,12.05MiB / 30.25GiB,34kB / 641kB
confident_ptolemy,0.12%,1.032GiB / 30.25GiB,3.51MB / 3.35MB
prometheus,0.00%,60.5MiB / 30.25GiB,1.4MB / 2.99MB
backend-a-1,0.09%,543.6MiB / 30.25GiB,1.68MB / 1.81MB
backend-b-1,0.11%,447.7MiB / 30.25GiB,1.58MB / 1.7MB
grafana,0.98%,77.74MiB / 30.25GiB,42.1kB / 86.1kB
myservice,0.11%,582.7MiB / 30.25GiB,33.7kB / 729kB
node-exporter,0.00%,11.9MiB / 30.25GiB,34.8kB / 655kB
confident_ptolemy,0.09%,1.032GiB / 30.25GiB,3.51MB / 3.35MB
prometheus,0.82%,60.54MiB / 30.25GiB,1.43MB / 2.99MB
backend-a-1,0.11%,543.6MiB / 30.25GiB,1.68MB / 1.81MB
backend-b-1,0.11%,447.7MiB / 30.25GiB,1.58MB / 1.7MB
grafana,1.15%,77.74MiB / 30.25GiB,42.2kB / 86.2kB
myservice,0.10%,584.7MiB / 30.25GiB,34.4kB / 746kB
node-exporter,0.00%,11.9MiB / 30.25GiB,34.8kB / 655kB
confident_ptolemy,0.09%,1.032GiB / 30.25GiB,3.51MB / 3.35MB
prometheus,0.00%,60.51MiB / 30.25GiB,1.43MB / 2.99MB
backend-a-1,2.12%,533.5MiB / 30.25GiB,1.68MB / 1.81MB
backend-b-1,1.70%,441.9MiB / 30.25GiB,1.58MB / 1.7MB
grafana,1.03%,77.74MiB / 30.25GiB,42.2kB / 86.2kB
myservice,0.10%,584.7MiB / 30.25GiB,34.4kB / 746kB
node-exporter,0.00%,11.8MiB / 30.25GiB,35.5kB / 670kB
confident_ptolemy,0.09%,1.032GiB / 30.25GiB,3.51MB / 3.35MB
prometheus,0.00%,60.55MiB / 30.25GiB,1.46MB / 2.99MB
backend-a-1,0.12%,533.5MiB / 30.25GiB,1.68MB / 1.81MB
backend-b-1,0.11%,441.9MiB / 30.25GiB,1.58MB / 1.7MB
grafana,0.97%,77.75MiB / 30.25GiB,42.2kB / 86.2kB
myservice,0.16%,584.8MiB / 30.25GiB,35.2kB / 763kB
node-exporter,1.52%,11.48MiB / 30.25GiB,36.2kB / 684kB
confident_ptolemy,248.60%,1.406GiB / 30.25GiB,6.62MB / 6.3MB
prometheus,0.99%,60.54MiB / 30.25GiB,1.49MB / 2.99MB
backend-a-1,464.91%,616.1MiB / 30.25GiB,3.18MB / 3.42MB
backend-b-1,296.02%,510.2MiB / 30.25GiB,2.99MB / 3.22MB
grafana,2.84%,77.77MiB / 30.25GiB,42.2kB / 86.2kB
myservice,1.20%,584.8MiB / 30.25GiB,35.9kB / 780kB
node-exporter,3.91%,11.13MiB / 30.25GiB,37kB / 699kB
confident_ptolemy,0.10%,1.406GiB / 30.25GiB,6.96MB / 6.62MB
prometheus,0.00%,60.59MiB / 30.25GiB,1.49MB / 2.99MB
backend-a-1,0.11%,629.8MiB / 30.25GiB,3.33MB / 3.6MB
backend-b-1,0.19%,531.3MiB / 30.25GiB,3.14MB / 3.38MB
grafana,1.09%,77.78MiB / 30.25GiB,42.2kB / 86.2kB
myservice,0.12%,584.8MiB / 30.25GiB,35.9kB / 780kB
node-exporter,0.00%,11.13MiB / 30.25GiB,37kB / 699kB
confident_ptolemy,0.10%,1.407GiB / 30.25GiB,6.96MB / 6.62MB
prometheus,0.51%,60.61MiB / 30.25GiB,1.52MB / 3MB
backend-a-1,5.89%,598.7MiB / 30.25GiB,3.33MB / 3.6MB
backend-b-1,0.12%,513.8MiB / 30.25GiB,3.14MB / 3.38MB
grafana,1.22%,77.77MiB / 30.25GiB,42.3kB / 86.3kB
myservice,0.40%,586.9MiB / 30.25GiB,36.7kB / 797kB
node-exporter,0.00%,11.22MiB / 30.25GiB,37.7kB / 714kB
confident_ptolemy,0.08%,1.407GiB / 30.25GiB,6.96MB / 6.63MB
prometheus,0.17%,60.61MiB / 30.25GiB,1.54MB / 3MB
backend-a-1,0.12%,598.5MiB / 30.25GiB,3.33MB / 3.6MB
backend-b-1,0.69%,505.7MiB / 30.25GiB,3.14MB / 3.38MB
grafana,1.06%,77.77MiB / 30.25GiB,42.3kB / 86.3kB
myservice,2.19%,587.2MiB / 30.25GiB,37.4kB / 814kB
node-exporter,0.00%,11.22MiB / 30.25GiB,37.7kB / 714kB
confident_ptolemy,0.09%,1.407GiB / 30.25GiB,6.96MB / 6.63MB
prometheus,0.00%,60.61MiB / 30.25GiB,1.56MB / 3MB
backend-a-1,0.13%,598.5MiB / 30.25GiB,3.33MB / 3.6MB
backend-b-1,0.11%,505.7MiB / 30.25GiB,3.14MB / 3.38MB
grafana,1.11%,77.78MiB / 30.25GiB,42.4kB / 86.4kB
myservice,0.12%,587.1MiB / 30.25GiB,37.4kB / 814kB
node-exporter,0.00%,11.35MiB / 30.25GiB,38.4kB / 728kB
confident_ptolemy,0.10%,1.407GiB / 30.25GiB,6.96MB / 6.63MB
prometheus,0.78%,60.64MiB / 30.25GiB,1.59MB / 3MB
backend-a-1,0.12%,598.5MiB / 30.25GiB,3.33MB / 3.6MB
backend-b-1,0.10%,507.8MiB / 30.25GiB,3.14MB / 3.38MB
grafana,1.27%,77.78MiB / 30.25GiB,42.4kB / 86.5kB
myservice,0.13%,587.2MiB / 30.25GiB,38.1kB / 831kB
node-exporter,0.00%,11.35MiB / 30.25GiB,38.4kB / 728kB
confident_ptolemy,0.09%,1.407GiB / 30.25GiB,6.96MB / 6.64MB
prometheus,0.00%,60.63MiB / 30.25GiB,1.59MB / 3MB
backend-a-1,0.11%,598.5MiB / 30.25GiB,3.33MB / 3.6MB
backend-b-1,0.11%,507.8MiB / 30.25GiB,3.14MB / 3.38MB
grafana,1.21%,77.78MiB / 30.25GiB,42.4kB / 86.5kB
myservice,0.12%,587.1MiB / 30.25GiB,38.1kB / 831kB
node-exporter,0.00%,11.3MiB / 30.25GiB,39.2kB / 743kB
confident_ptolemy,0.11%,1.407GiB / 30.25GiB,6.96MB / 6.64MB
prometheus,0.00%,60.64MiB / 30.25GiB,1.62MB / 3MB
backend-a-1,0.13%,598.4MiB / 30.25GiB,3.33MB / 3.6MB
backend-b-1,0.10%,507.8MiB / 30.25GiB,3.14MB / 3.38MB
grafana,1.14%,77.78MiB / 30.25GiB,42.4kB / 86.5kB
myservice,0.12%,589.1MiB / 30.25GiB,38.9kB / 848kB
node-exporter,0.00%,11.31MiB / 30.25GiB,39.9kB / 757kB
confident_ptolemy,0.09%,1.407GiB / 30.25GiB,6.96MB / 6.64MB
prometheus,0.33%,60.64MiB / 30.25GiB,1.65MB / 3MB
backend-a-1,0.14%,598.4MiB / 30.25GiB,3.33MB / 3.6MB
backend-b-1,0.23%,510MiB / 30.25GiB,3.14MB / 3.38MB
grafana,1.16%,77.78MiB / 30.25GiB,42.4kB / 86.5kB
myservice,0.17%,589.1MiB / 30.25GiB,39.6kB / 865kB
node-exporter,0.00%,11.31MiB / 30.25GiB,39.9kB / 757kB
confident_ptolemy,0.09%,1.407GiB / 30.25GiB,6.96MB / 6.64MB
prometheus,0.00%,60.64MiB / 30.25GiB,1.65MB / 3MB
backend-a-1,0.12%,598.4MiB / 30.25GiB,3.33MB / 3.6MB
backend-b-1,0.11%,510MiB / 30.25GiB,3.14MB / 3.38MB
grafana,1.25%,77.78MiB / 30.25GiB,42.4kB / 86.5kB
myservice,0.15%,589.1MiB / 30.25GiB,39.6kB / 865kB
node-exporter,0.00%,11.2MiB / 30.25GiB,40.6kB / 772kB
confident_ptolemy,0.12%,1.407GiB / 30.25GiB,6.96MB / 6.64MB
prometheus,0.62%,60.68MiB / 30.25GiB,1.68MB / 3MB
backend-a-1,0.15%,598.4MiB / 30.25GiB,3.33MB / 3.6MB
backend-b-1,0.11%,510MiB / 30.25GiB,3.14MB / 3.38MB
grafana,1.07%,77.78MiB / 30.25GiB,42.6kB / 86.6kB
myservice,0.14%,589.1MiB / 30.25GiB,40.4kB / 882kB
node-exporter,0.00%,11.23MiB / 30.25GiB,41.4kB / 786kB
confident_ptolemy,0.11%,1.407GiB / 30.25GiB,6.96MB / 6.64MB
prometheus,0.15%,60.67MiB / 30.25GiB,1.7MB / 3MB
backend-a-1,0.12%,598.4MiB / 30.25GiB,3.33MB / 3.6MB
backend-b-1,0.13%,519.8MiB / 30.25GiB,3.14MB / 3.38MB
grafana,1.19%,77.78MiB / 30.25GiB,42.6kB / 86.6kB
myservice,1.30%,589.1MiB / 30.25GiB,41.1kB / 899kB
node-exporter,0.00%,11.23MiB / 30.25GiB,41.4kB / 786kB
confident_ptolemy,0.09%,1.407GiB / 30.25GiB,6.96MB / 6.64MB
prometheus,0.00%,60.75MiB / 30.25GiB,1.71MB / 3MB
backend-a-1,0.13%,598.4MiB / 30.25GiB,3.33MB / 3.6MB
backend-b-1,0.13%,520.8MiB / 30.25GiB,3.14MB / 3.38MB
grafana,1.31%,77.78MiB / 30.25GiB,42.6kB / 86.6kB
myservice,0.12%,589.1MiB / 30.25GiB,41.1kB / 899kB
node-exporter,0.00%,12.28MiB / 30.25GiB,42.1kB / 801kB
confident_ptolemy,0.09%,1.407GiB / 30.25GiB,6.96MB / 6.64MB
prometheus,0.76%,60.78MiB / 30.25GiB,1.75MB / 3.01MB
backend-a-1,7.69%,598.6MiB / 30.25GiB,3.33MB / 3.6MB
backend-b-1,0.10%,520.8MiB / 30.25GiB,3.14MB / 3.38MB
grafana,1.38%,77.78MiB / 30.25GiB,42.6kB / 86.8kB
myservice,0.11%,589.3MiB / 30.25GiB,41.9kB / 916kB
node-exporter,1.64%,12.52MiB / 30.25GiB,42.9kB / 816kB
confident_ptolemy,0.10%,1.407GiB / 30.25GiB,6.96MB / 6.64MB
prometheus,0.00%,60.75MiB / 30.25GiB,1.75MB / 3.01MB
backend-a-1,0.37%,598.6MiB / 30.25GiB,3.33MB / 3.6MB
backend-b-1,0.16%,520.8MiB / 30.25GiB,3.14MB / 3.38MB
grafana,0.92%,77.78MiB / 30.25GiB,42.6kB / 86.8kB
myservice,0.12%,589.3MiB / 30.25GiB,41.9kB / 916kB
node-exporter,0.00%,12.52MiB / 30.25GiB,42.9kB / 816kB
confident_ptolemy,0.11%,1.407GiB / 30.25GiB,6.96MB / 6.64MB
prometheus,0.00%,60.76MiB / 30.25GiB,1.78MB / 3.01MB
backend-a-1,0.19%,598.6MiB / 30.25GiB,3.33MB / 3.6MB
backend-b-1,0.21%,520.7MiB / 30.25GiB,3.14MB / 3.38MB
grafana,1.18%,77.78MiB / 30.25GiB,42.6kB / 86.8kB
myservice,0.14%,589.3MiB / 30.25GiB,42.6kB / 933kB
node-exporter,0.00%,11.96MiB / 30.25GiB,43.6kB / 830kB
confident_ptolemy,0.09%,1.407GiB / 30.25GiB,6.96MB / 6.64MB
prometheus,0.17%,60.76MiB / 30.25GiB,1.79MB / 3.01MB
backend-a-1,0.13%,598.5MiB / 30.25GiB,3.33MB / 3.6MB
backend-b-1,0.19%,520.7MiB / 30.25GiB,3.14MB / 3.38MB
grafana,0.97%,77.78MiB / 30.25GiB,42.6kB / 86.8kB
myservice,0.93%,591.3MiB / 30.25GiB,43.4kB / 950kB
node-exporter,0.00%,11.84MiB / 30.25GiB,43.6kB / 830kB
confident_ptolemy,0.08%,1.407GiB / 30.25GiB,6.96MB / 6.64MB
prometheus,0.00%,60.82MiB / 30.25GiB,1.81MB / 3.01MB
backend-a-1,0.17%,598.5MiB / 30.25GiB,3.33MB / 3.6MB
backend-b-1,0.11%,520.7MiB / 30.25GiB,3.14MB / 3.38MB
grafana,1.11%,77.78MiB / 30.25GiB,42.6kB / 86.8kB
myservice,0.10%,591.3MiB / 30.25GiB,43.4kB / 950kB
node-exporter,0.00%,11.85MiB / 30.25GiB,44.3kB / 845kB
confident_ptolemy,0.11%,1.407GiB / 30.25GiB,6.96MB / 6.64MB
prometheus,0.55%,60.97MiB / 30.25GiB,1.84MB / 3.01MB
backend-a-1,0.13%,598.5MiB / 30.25GiB,3.33MB / 3.6MB
backend-b-1,0.11%,520.7MiB / 30.25GiB,3.14MB / 3.38MB
grafana,1.11%,77.78MiB / 30.25GiB,42.8kB / 86.9kB
myservice,0.11%,591.3MiB / 30.25GiB,44.1kB / 967kB
node-exporter,1.34%,11.6MiB / 30.25GiB,45.1kB / 859kB
confident_ptolemy,0.10%,1.407GiB / 30.25GiB,6.96MB / 6.64MB
prometheus,0.12%,60.96MiB / 30.25GiB,1.86MB / 3.01MB
backend-a-1,0.12%,598.5MiB / 30.25GiB,3.33MB / 3.6MB
backend-b-1,0.13%,520.7MiB / 30.25GiB,3.14MB / 3.38MB
grafana,1.07%,77.79MiB / 30.25GiB,42.8kB / 86.9kB
myservice,1.56%,591.3MiB / 30.25GiB,44.8kB / 984kB
node-exporter,0.00%,11.6MiB / 30.25GiB,45.1kB / 859kB
confident_ptolemy,0.10%,1.407GiB / 30.25GiB,6.96MB / 6.64MB
prometheus,0.00%,61.01MiB / 30.25GiB,1.87MB / 3.01MB
backend-a-1,0.11%,590.6MiB / 30.25GiB,3.33MB / 3.6MB
backend-b-1,0.11%,517.3MiB / 30.25GiB,3.14MB / 3.38MB
grafana,1.08%,77.8MiB / 30.25GiB,42.8kB / 87kB
myservice,0.11%,591.3MiB / 30.25GiB,44.8kB / 984kB
node-exporter,0.00%,11.11MiB / 30.25GiB,45.8kB / 874kB
confident_ptolemy,44.13%,1.488GiB / 30.25GiB,8MB / 7.67MB
prometheus,0.43%,61.02MiB / 30.25GiB,1.9MB / 3.01MB
backend-a-1,124.66%,630.5MiB / 30.25GiB,3.82MB / 4.13MB
backend-b-1,114.01%,549.3MiB / 30.25GiB,3.62MB / 3.9MB
grafana,1.18%,77.8MiB / 30.25GiB,42.8kB / 87kB
myservice,0.11%,591.3MiB / 30.25GiB,45.6kB / 1MB
node-exporter,0.00%,11.11MiB / 30.25GiB,45.8kB / 874kB
confident_ptolemy,0.11%,1.673GiB / 30.25GiB,10.3MB / 9.84MB
prometheus,0.00%,61.04MiB / 30.25GiB,1.9MB / 3.01MB
backend-a-1,0.11%,646.4MiB / 30.25GiB,4.91MB / 5.32MB
backend-b-1,0.12%,552.4MiB / 30.25GiB,4.67MB / 5.03MB
grafana,1.12%,77.8MiB / 30.25GiB,42.9kB / 87.1kB
myservice,0.12%,591.3MiB / 30.25GiB,45.6kB / 1MB
node-exporter,0.00%,11.13MiB / 30.25GiB,46.5kB / 888kB
confident_ptolemy,0.08%,1.673GiB / 30.25GiB,10.3MB / 9.84MB
prometheus,0.00%,61.06MiB / 30.25GiB,1.93MB / 3.01MB
backend-a-1,0.15%,640.9MiB / 30.25GiB,4.91MB / 5.32MB
backend-b-1,0.10%,552.7MiB / 30.25GiB,4.67MB / 5.03MB
grafana,1.06%,77.8MiB / 30.25GiB,42.9kB / 87.1kB
myservice,0.11%,591.4MiB / 30.25GiB,46.3kB / 1.02MB
node-exporter,0.00%,11.16MiB / 30.25GiB,47.3kB / 903kB
confident_ptolemy,0.09%,1.673GiB / 30.25GiB,10.3MB / 9.84MB
prometheus,0.12%,61.06MiB / 30.25GiB,1.95MB / 3.02MB
backend-a-1,0.16%,642.6MiB / 30.25GiB,4.91MB / 5.32MB
backend-b-1,0.14%,552.8MiB / 30.25GiB,4.67MB / 5.03MB
grafana,1.02%,77.8MiB / 30.25GiB,42.9kB / 87.1kB
myservice,1.00%,591.4MiB / 30.25GiB,47.1kB / 1.03MB
node-exporter,0.00%,11.16MiB / 30.25GiB,47.3kB / 903kB
confident_ptolemy,0.13%,1.673GiB / 30.25GiB,10.3MB / 9.84MB
prometheus,0.00%,61.07MiB / 30.25GiB,1.97MB / 3.02MB
backend-a-1,0.43%,642.6MiB / 30.25GiB,4.91MB / 5.32MB
backend-b-1,0.13%,552.7MiB / 30.25GiB,4.67MB / 5.03MB
grafana,1.11%,77.8MiB / 30.25GiB,42.9kB / 87.1kB
myservice,0.12%,591.4MiB / 30.25GiB,47.1kB / 1.03MB
node-exporter,0.00%,11.4MiB / 30.25GiB,48kB / 918kB
confident_ptolemy,0.10%,1.673GiB / 30.25GiB,10.3MB / 9.84MB
prometheus,0.66%,61.1MiB / 30.25GiB,2MB / 3.02MB
backend-a-1,0.13%,642.6MiB / 30.25GiB,4.91MB / 5.32MB
backend-b-1,0.12%,552.7MiB / 30.25GiB,4.67MB / 5.03MB
grafana,1.22%,77.8MiB / 30.25GiB,43kB / 87.2kB
myservice,0.14%,593.4MiB / 30.25GiB,47.8kB / 1.05MB
node-exporter,0.00%,10.84MiB / 30.25GiB,48.8kB / 932kB
confident_ptolemy,0.08%,1.673GiB / 30.25GiB,10.3MB / 9.84MB
prometheus,0.10%,61.1MiB / 30.25GiB,2.01MB / 3.02MB
backend-a-1,0.31%,642.5MiB / 30.25GiB,4.91MB / 5.32MB
backend-b-1,0.10%,552.7MiB / 30.25GiB,4.67MB / 5.03MB
grafana,1.17%,77.8MiB / 30.25GiB,43kB / 87.2kB
myservice,0.69%,593.4MiB / 30.25GiB,48.6kB / 1.07MB
node-exporter,0.00%,10.84MiB / 30.25GiB,48.8kB / 932kB
confident_ptolemy,0.15%,1.673GiB / 30.25GiB,10.3MB / 9.84MB
prometheus,0.63%,61.09MiB / 30.25GiB,2.03MB / 3.02MB
backend-a-1,0.11%,642.5MiB / 30.25GiB,4.91MB / 5.32MB
backend-b-1,0.11%,552.7MiB / 30.25GiB,4.67MB / 5.03MB
grafana,1.14%,77.8MiB / 30.25GiB,43kB / 87.2kB
myservice,0.10%,593.5MiB / 30.25GiB,48.6kB / 1.07MB
node-exporter,0.00%,11.03MiB / 30.25GiB,49.5kB / 947kB
