# --- TEST_START: 1746900547 ---
backend-b-1,0.13%,425.8MiB / 30.25GiB,4.69MB / 5.05MB
myservice,0.15%,587.9MiB / 30.25GiB,66.5kB / 1.23MB
node-exporter,0.00%,14.63MiB / 30.25GiB,73.1kB / 1.41MB
quirky_austin,0.15%,1019MiB / 30.25GiB,3.43MB / 3.25MB
backend-b-1,0.12%,429.3MiB / 30.25GiB,6.23MB / 6.72MB
backend-a-1,0.14%,777.1MiB / 30.25GiB,6.57MB / 7.12MB
grafana,1.23%,79.61MiB / 30.25GiB,66.4kB / 109kB
prometheus,0.00%,51.76MiB / 30.25GiB,2.67MB / 3.12MB
myservice,0.11%,588MiB / 30.25GiB,67.2kB / 1.24MB
node-exporter,0.00%,14.63MiB / 30.25GiB,73.1kB / 1.41MB
quirky_austin,49.12%,1.025GiB / 30.25GiB,3.43MB / 3.25MB
backend-b-1,0.13%,429.3MiB / 30.25GiB,6.23MB / 6.72MB
backend-a-1,0.12%,777.1MiB / 30.25GiB,6.57MB / 7.12MB
grafana,1.17%,79.61MiB / 30.25GiB,66.4kB / 109kB
prometheus,0.09%,51.76MiB / 30.25GiB,2.7MB / 3.12MB
myservice,0.65%,588.2MiB / 30.25GiB,67.9kB / 1.26MB
node-exporter,0.00%,14.62MiB / 30.25GiB,73.8kB / 1.43MB
quirky_austin,0.14%,1.025GiB / 30.25GiB,3.43MB / 3.25MB
backend-b-1,0.10%,429.3MiB / 30.25GiB,6.23MB / 6.72MB
backend-a-1,0.11%,777.1MiB / 30.25GiB,6.57MB / 7.12MB
grafana,1.04%,79.61MiB / 30.25GiB,66.6kB / 109kB
prometheus,0.95%,51.79MiB / 30.25GiB,2.71MB / 3.12MB
myservice,0.10%,588MiB / 30.25GiB,67.9kB / 1.26MB
node-exporter,0.00%,14.62MiB / 30.25GiB,73.8kB / 1.43MB
quirky_austin,0.09%,1.025GiB / 30.25GiB,3.43MB / 3.26MB
backend-b-1,0.11%,429.3MiB / 30.25GiB,6.23MB / 6.72MB
backend-a-1,0.13%,777.1MiB / 30.25GiB,6.57MB / 7.12MB
grafana,1.10%,79.6MiB / 30.25GiB,66.7kB / 109kB
prometheus,0.00%,51.78MiB / 30.25GiB,2.72MB / 3.12MB
myservice,0.14%,588MiB / 30.25GiB,68.6kB / 1.27MB
node-exporter,0.00%,13.44MiB / 30.25GiB,74.6kB / 1.44MB
quirky_austin,0.10%,1.025GiB / 30.25GiB,3.43MB / 3.26MB
backend-b-1,0.11%,429.3MiB / 30.25GiB,6.23MB / 6.72MB
backend-a-1,0.12%,777.1MiB / 30.25GiB,6.57MB / 7.12MB
grafana,1.38%,79.61MiB / 30.25GiB,66.7kB / 109kB
prometheus,0.92%,51.89MiB / 30.25GiB,2.74MB / 3.12MB
myservice,0.10%,588MiB / 30.25GiB,68.6kB / 1.27MB
node-exporter,0.00%,13.48MiB / 30.25GiB,75.3kB / 1.45MB
quirky_austin,0.10%,1.025GiB / 30.25GiB,3.43MB / 3.26MB
backend-b-1,0.13%,429.3MiB / 30.25GiB,6.23MB / 6.72MB
backend-a-1,0.11%,777.1MiB / 30.25GiB,6.57MB / 7.12MB
grafana,1.11%,79.61MiB / 30.25GiB,66.7kB / 109kB
prometheus,0.65%,51.77MiB / 30.25GiB,2.75MB / 3.12MB
myservice,0.14%,588MiB / 30.25GiB,69.4kB / 1.28MB
node-exporter,0.00%,13.48MiB / 30.25GiB,75.3kB / 1.45MB
quirky_austin,0.08%,1.025GiB / 30.25GiB,3.43MB / 3.26MB
backend-b-1,0.11%,429.3MiB / 30.25GiB,6.23MB / 6.72MB
backend-a-1,37.42%,810.4MiB / 30.25GiB,6.57MB / 7.12MB
grafana,1.09%,79.61MiB / 30.25GiB,66.9kB / 110kB
prometheus,0.18%,51.77MiB / 30.25GiB,2.78MB / 3.13MB
myservice,4.36%,588MiB / 30.25GiB,70.2kB / 1.3MB
node-exporter,0.00%,13.45MiB / 30.25GiB,76kB / 1.47MB
quirky_austin,0.11%,1.025GiB / 30.25GiB,3.43MB / 3.26MB
backend-b-1,0.14%,429.3MiB / 30.25GiB,6.23MB / 6.72MB
backend-a-1,0.11%,810.4MiB / 30.25GiB,6.57MB / 7.12MB
grafana,1.11%,79.61MiB / 30.25GiB,67kB / 110kB
prometheus,0.28%,51.9MiB / 30.25GiB,2.79MB / 3.13MB
myservice,0.11%,588MiB / 30.25GiB,70.2kB / 1.3MB
node-exporter,0.00%,13.45MiB / 30.25GiB,76kB / 1.47MB
quirky_austin,0.09%,1.025GiB / 30.25GiB,3.43MB / 3.26MB
backend-b-1,0.12%,430.5MiB / 30.25GiB,6.23MB / 6.72MB
backend-a-1,0.12%,810.3MiB / 30.25GiB,6.57MB / 7.12MB
grafana,0.96%,79.61MiB / 30.25GiB,67.1kB / 110kB
prometheus,0.00%,51.77MiB / 30.25GiB,2.81MB / 3.13MB
myservice,0.10%,588.1MiB / 30.25GiB,70.9kB / 1.31MB
node-exporter,0.00%,13.47MiB / 30.25GiB,76.8kB / 1.48MB
quirky_austin,0.09%,1.025GiB / 30.25GiB,3.43MB / 3.26MB
backend-b-1,0.11%,430.4MiB / 30.25GiB,6.23MB / 6.72MB
backend-a-1,0.11%,810.3MiB / 30.25GiB,6.57MB / 7.12MB
grafana,1.10%,79.61MiB / 30.25GiB,67.1kB / 110kB
prometheus,0.08%,51.78MiB / 30.25GiB,2.83MB / 3.13MB
myservice,17.81%,588.8MiB / 30.25GiB,71.6kB / 1.32MB
node-exporter,0.00%,13.41MiB / 30.25GiB,77.5kB / 1.5MB
quirky_austin,0.12%,1.025GiB / 30.25GiB,3.43MB / 3.26MB
backend-b-1,0.17%,430.4MiB / 30.25GiB,6.23MB / 6.72MB
backend-a-1,0.19%,810.3MiB / 30.25GiB,6.57MB / 7.12MB
grafana,0.95%,79.61MiB / 30.25GiB,67.2kB / 110kB
prometheus,2.42%,52.16MiB / 30.25GiB,2.85MB / 3.13MB
myservice,0.11%,588.6MiB / 30.25GiB,71.6kB / 1.32MB
node-exporter,0.00%,13.41MiB / 30.25GiB,77.5kB / 1.5MB
quirky_austin,0.09%,1.025GiB / 30.25GiB,3.43MB / 3.26MB
backend-b-1,0.10%,430.4MiB / 30.25GiB,6.23MB / 6.72MB
backend-a-1,0.25%,810MiB / 30.25GiB,6.57MB / 7.12MB
grafana,1.01%,79.61MiB / 30.25GiB,67.3kB / 110kB
prometheus,0.00%,51.77MiB / 30.25GiB,2.86MB / 3.13MB
myservice,0.23%,588.6MiB / 30.25GiB,72.2kB / 1.33MB
node-exporter,0.00%,14.29MiB / 30.25GiB,78.2kB / 1.51MB
quirky_austin,0.10%,1.025GiB / 30.25GiB,3.43MB / 3.26MB
backend-b-1,0.11%,428MiB / 30.25GiB,6.23MB / 6.72MB
backend-a-1,0.11%,804.8MiB / 30.25GiB,6.57MB / 7.12MB
grafana,0.96%,79.61MiB / 30.25GiB,67.4kB / 110kB
prometheus,0.01%,51.79MiB / 30.25GiB,2.88MB / 3.13MB
myservice,0.09%,588.6MiB / 30.25GiB,72.2kB / 1.33MB
node-exporter,1.66%,14.45MiB / 30.25GiB,79kB / 1.53MB
quirky_austin,523.95%,1.294GiB / 30.25GiB,5.67MB / 5.39MB
backend-b-1,62.69%,430.6MiB / 30.25GiB,7.26MB / 7.83MB
backend-a-1,179.72%,810.9MiB / 30.25GiB,7.64MB / 8.27MB
grafana,1.61%,79.61MiB / 30.25GiB,67.4kB / 110kB
prometheus,0.00%,51.79MiB / 30.25GiB,2.89MB / 3.13MB
myservice,0.10%,588.6MiB / 30.25GiB,72.9kB / 1.35MB
node-exporter,0.00%,14.33MiB / 30.25GiB,79kB / 1.53MB
quirky_austin,0.07%,1.418GiB / 30.25GiB,6.9MB / 6.54MB
backend-b-1,0.10%,430.8MiB / 30.25GiB,7.8MB / 8.42MB
backend-a-1,0.09%,811.4MiB / 30.25GiB,8.22MB / 8.92MB
grafana,1.00%,79.61MiB / 30.25GiB,67.4kB / 110kB
prometheus,0.12%,51.9MiB / 30.25GiB,2.92MB / 3.13MB
myservice,0.80%,588.7MiB / 30.25GiB,73.6kB / 1.36MB
node-exporter,0.00%,14.92MiB / 30.25GiB,79.7kB / 1.54MB
quirky_austin,0.12%,1.398GiB / 30.25GiB,6.9MB / 6.55MB
backend-b-1,0.11%,430.8MiB / 30.25GiB,7.8MB / 8.42MB
backend-a-1,0.12%,811.4MiB / 30.25GiB,8.22MB / 8.92MB
grafana,1.06%,79.61MiB / 30.25GiB,67.5kB / 110kB
prometheus,0.65%,51.9MiB / 30.25GiB,2.93MB / 3.13MB
myservice,0.10%,588.6MiB / 30.25GiB,73.6kB / 1.36MB
node-exporter,0.00%,14.92MiB / 30.25GiB,79.7kB / 1.54MB
quirky_austin,0.09%,1.398GiB / 30.25GiB,6.9MB / 6.56MB
backend-b-1,0.12%,430.8MiB / 30.25GiB,7.8MB / 8.42MB
backend-a-1,0.11%,811.4MiB / 30.25GiB,8.22MB / 8.92MB
grafana,1.14%,79.62MiB / 30.25GiB,67.7kB / 111kB
prometheus,0.00%,51.77MiB / 30.25GiB,2.94MB / 3.13MB
myservice,0.13%,588.6MiB / 30.25GiB,74.3kB / 1.37MB
node-exporter,0.00%,13.79MiB / 30.25GiB,80.4kB / 1.56MB
quirky_austin,0.10%,1.398GiB / 30.25GiB,6.9MB / 6.56MB
backend-b-1,0.10%,430.8MiB / 30.25GiB,7.8MB / 8.42MB
backend-a-1,3.59%,812.6MiB / 30.25GiB,8.22MB / 8.92MB
grafana,1.04%,79.61MiB / 30.25GiB,67.8kB / 111kB
prometheus,0.00%,51.78MiB / 30.25GiB,2.96MB / 3.14MB
myservice,0.10%,588.6MiB / 30.25GiB,74.3kB / 1.37MB
node-exporter,0.00%,14.34MiB / 30.25GiB,81.2kB / 1.57MB
quirky_austin,0.08%,1.398GiB / 30.25GiB,6.9MB / 6.56MB
backend-b-1,0.09%,430.8MiB / 30.25GiB,7.8MB / 8.42MB
backend-a-1,0.89%,803.8MiB / 30.25GiB,8.22MB / 8.92MB
grafana,1.01%,79.61MiB / 30.25GiB,67.9kB / 111kB
prometheus,0.89%,52.54MiB / 30.25GiB,2.99MB / 3.14MB
myservice,0.11%,588.6MiB / 30.25GiB,75kB / 1.39MB
node-exporter,0.00%,14.34MiB / 30.25GiB,81.2kB / 1.57MB
quirky_austin,0.09%,1.398GiB / 30.25GiB,6.9MB / 6.57MB
backend-b-1,0.10%,431.4MiB / 30.25GiB,7.8MB / 8.42MB
backend-a-1,0.13%,803.8MiB / 30.25GiB,8.22MB / 8.92MB
grafana,1.05%,79.61MiB / 30.25GiB,67.9kB / 111kB
prometheus,0.00%,52.41MiB / 30.25GiB,3MB / 3.14MB
myservice,0.15%,588.9MiB / 30.25GiB,75.6kB / 1.4MB
node-exporter,0.00%,14.14MiB / 30.25GiB,81.9kB / 1.59MB
quirky_austin,0.16%,1.398GiB / 30.25GiB,6.9MB / 6.57MB
backend-b-1,0.19%,431.4MiB / 30.25GiB,7.8MB / 8.42MB
backend-a-1,0.11%,803.8MiB / 30.25GiB,8.22MB / 8.92MB
grafana,1.21%,79.62MiB / 30.25GiB,67.9kB / 111kB
prometheus,0.07%,52.41MiB / 30.25GiB,3.01MB / 3.14MB
myservice,0.10%,588.9MiB / 30.25GiB,75.6kB / 1.4MB
node-exporter,0.00%,14.25MiB / 30.25GiB,82.7kB / 1.6MB
quirky_austin,0.09%,1.398GiB / 30.25GiB,6.9MB / 6.57MB
backend-b-1,0.31%,431.5MiB / 30.25GiB,7.8MB / 8.42MB
backend-a-1,0.12%,803.7MiB / 30.25GiB,8.22MB / 8.92MB
grafana,0.95%,79.62MiB / 30.25GiB,67.9kB / 111kB
prometheus,0.00%,52.4MiB / 30.25GiB,3.03MB / 3.14MB
myservice,0.12%,588.8MiB / 30.25GiB,76.3kB / 1.41MB
node-exporter,0.00%,14.25MiB / 30.25GiB,82.7kB / 1.6MB
quirky_austin,0.09%,1.398GiB / 30.25GiB,6.9MB / 6.57MB
backend-b-1,0.10%,431.3MiB / 30.25GiB,7.8MB / 8.42MB
backend-a-1,0.10%,803.7MiB / 30.25GiB,8.22MB / 8.92MB
grafana,1.17%,79.62MiB / 30.25GiB,68.1kB / 111kB
prometheus,0.09%,52.42MiB / 30.25GiB,3.05MB / 3.14MB
myservice,0.74%,588.9MiB / 30.25GiB,77kB / 1.42MB
node-exporter,0.01%,13.57MiB / 30.25GiB,83.4kB / 1.61MB
quirky_austin,0.13%,1.398GiB / 30.25GiB,6.9MB / 6.57MB
backend-b-1,0.17%,431.3MiB / 30.25GiB,7.8MB / 8.42MB
backend-a-1,0.17%,803.7MiB / 30.25GiB,8.22MB / 8.92MB
grafana,1.04%,79.62MiB / 30.25GiB,68.2kB / 111kB
prometheus,0.90%,52.55MiB / 30.25GiB,3.07MB / 3.14MB
myservice,0.09%,588.9MiB / 30.25GiB,77kB / 1.42MB
node-exporter,1.34%,13.39MiB / 30.25GiB,84.1kB / 1.63MB
quirky_austin,0.09%,1.398GiB / 30.25GiB,6.9MB / 6.57MB
backend-b-1,0.10%,431.3MiB / 30.25GiB,7.8MB / 8.42MB
backend-a-1,0.11%,803.7MiB / 30.25GiB,8.22MB / 8.92MB
grafana,1.03%,79.62MiB / 30.25GiB,68.3kB / 111kB
prometheus,0.00%,52.41MiB / 30.25GiB,3.08MB / 3.14MB
myservice,0.16%,588.9MiB / 30.25GiB,77.7kB / 1.44MB
node-exporter,0.00%,13.27MiB / 30.25GiB,84.1kB / 1.63MB
quirky_austin,0.09%,1.398GiB / 30.25GiB,6.9MB / 6.57MB
backend-b-1,0.11%,431.3MiB / 30.25GiB,7.8MB / 8.42MB
backend-a-1,0.11%,803.7MiB / 30.25GiB,8.22MB / 8.92MB
grafana,1.29%,79.62MiB / 30.25GiB,68.3kB / 111kB
prometheus,0.00%,52.42MiB / 30.25GiB,3.1MB / 3.14MB
myservice,0.10%,588.9MiB / 30.25GiB,77.7kB / 1.44MB
node-exporter,1.49%,14.2MiB / 30.25GiB,84.9kB / 1.64MB
quirky_austin,0.09%,1.398GiB / 30.25GiB,6.9MB / 6.57MB
backend-b-1,0.11%,431.3MiB / 30.25GiB,7.8MB / 8.42MB
backend-a-1,0.16%,804MiB / 30.25GiB,8.22MB / 8.92MB
grafana,1.02%,79.62MiB / 30.25GiB,68.4kB / 111kB
prometheus,0.53%,52.42MiB / 30.25GiB,3.11MB / 3.14MB
myservice,0.11%,588.9MiB / 30.25GiB,78.4kB / 1.45MB
node-exporter,0.00%,14.2MiB / 30.25GiB,84.9kB / 1.64MB
quirky_austin,0.09%,1.398GiB / 30.25GiB,6.9MB / 6.57MB
backend-b-1,0.12%,431.3MiB / 30.25GiB,7.8MB / 8.42MB
backend-a-1,0.12%,804MiB / 30.25GiB,8.22MB / 8.92MB
grafana,1.05%,79.62MiB / 30.25GiB,68.5kB / 112kB
prometheus,0.00%,52.41MiB / 30.25GiB,3.14MB / 3.14MB
myservice,0.19%,588.9MiB / 30.25GiB,79kB / 1.46MB
node-exporter,0.00%,13.54MiB / 30.25GiB,85.6kB / 1.66MB
quirky_austin,0.12%,1.398GiB / 30.25GiB,6.9MB / 6.57MB
backend-b-1,0.10%,431.3MiB / 30.25GiB,7.8MB / 8.42MB
backend-a-1,10.12%,804.5MiB / 30.25GiB,8.22MB / 8.92MB
grafana,0.91%,79.62MiB / 30.25GiB,68.6kB / 112kB
prometheus,0.06%,52.41MiB / 30.25GiB,3.15MB / 3.14MB
myservice,0.09%,588.9MiB / 30.25GiB,79kB / 1.46MB
node-exporter,0.00%,14.46MiB / 30.25GiB,86.3kB / 1.67MB
quirky_austin,0.10%,1.398GiB / 30.25GiB,6.9MB / 6.57MB
backend-b-1,10.21%,431.7MiB / 30.25GiB,7.8MB / 8.42MB
backend-a-1,0.36%,804.1MiB / 30.25GiB,8.22MB / 8.92MB
grafana,1.23%,79.62MiB / 30.25GiB,68.6kB / 112kB
prometheus,0.00%,52.41MiB / 30.25GiB,3.16MB / 3.15MB
myservice,0.14%,589.1MiB / 30.25GiB,79.7kB / 1.48MB
node-exporter,0.00%,14.46MiB / 30.25GiB,86.3kB / 1.67MB
quirky_austin,0.13%,1.398GiB / 30.25GiB,6.9MB / 6.57MB
backend-b-1,0.11%,431.4MiB / 30.25GiB,7.8MB / 8.42MB
backend-a-1,0.14%,804.6MiB / 30.25GiB,8.22MB / 8.92MB
grafana,1.17%,79.62MiB / 30.25GiB,68.6kB / 112kB
prometheus,0.11%,52.42MiB / 30.25GiB,3.19MB / 3.15MB
myservice,0.56%,589.2MiB / 30.25GiB,80.4kB / 1.49MB
node-exporter,0.00%,13.97MiB / 30.25GiB,87.1kB / 1.69MB
quirky_austin,0.13%,1.398GiB / 30.25GiB,6.9MB / 6.57MB
backend-b-1,0.09%,431.4MiB / 30.25GiB,7.8MB / 8.42MB
backend-a-1,0.15%,804.6MiB / 30.25GiB,8.22MB / 8.93MB
grafana,1.09%,79.62MiB / 30.25GiB,68.7kB / 112kB
prometheus,0.88%,52.43MiB / 30.25GiB,3.21MB / 3.15MB
myservice,0.11%,589.1MiB / 30.25GiB,80.4kB / 1.49MB
node-exporter,0.00%,13.97MiB / 30.25GiB,87.1kB / 1.69MB
quirky_austin,0.11%,1.398GiB / 30.25GiB,6.9MB / 6.57MB
backend-b-1,0.11%,431.4MiB / 30.25GiB,7.8MB / 8.42MB
backend-a-1,0.12%,804.6MiB / 30.25GiB,8.22MB / 8.93MB
grafana,1.08%,79.62MiB / 30.25GiB,69kB / 112kB
prometheus,0.00%,52.42MiB / 30.25GiB,3.22MB / 3.15MB
myservice,0.13%,589.1MiB / 30.25GiB,81.1kB / 1.5MB
node-exporter,0.00%,13.55MiB / 30.25GiB,87.8kB / 1.7MB
quirky_austin,0.11%,1.398GiB / 30.25GiB,6.9MB / 6.57MB
backend-b-1,0.10%,428.7MiB / 30.25GiB,7.8MB / 8.42MB
backend-a-1,0.11%,798.1MiB / 30.25GiB,8.22MB / 8.93MB
grafana,1.11%,79.62MiB / 30.25GiB,69kB / 112kB
prometheus,0.01%,52.43MiB / 30.25GiB,3.23MB / 3.15MB
myservice,0.11%,589.1MiB / 30.25GiB,81.1kB / 1.5MB
node-exporter,1.59%,13.25MiB / 30.25GiB,88.6kB / 1.72MB
quirky_austin,29.99%,1.439GiB / 30.25GiB,7.38MB / 7.05MB
backend-b-1,15.67%,428.7MiB / 30.25GiB,8.02MB / 8.66MB
backend-a-1,33.09%,798.1MiB / 30.25GiB,8.45MB / 9.17MB
grafana,1.07%,79.62MiB / 30.25GiB,69.1kB / 112kB
prometheus,0.60%,52.68MiB / 30.25GiB,3.25MB / 3.15MB
myservice,0.11%,589.1MiB / 30.25GiB,81.8kB / 1.51MB
node-exporter,0.00%,13.25MiB / 30.25GiB,88.6kB / 1.72MB
quirky_austin,0.13%,1.641GiB / 30.25GiB,10.1MB / 9.61MB
backend-b-1,0.13%,430.7MiB / 30.25GiB,9.25MB / 9.99MB
backend-a-1,0.15%,801.2MiB / 30.25GiB,9.72MB / 10.6MB
grafana,3.60%,79.42MiB / 30.25GiB,74.5kB / 115kB
prometheus,0.11%,52.42MiB / 30.25GiB,3.27MB / 3.15MB
myservice,0.72%,589.1MiB / 30.25GiB,82.4kB / 1.53MB
node-exporter,0.00%,13.57MiB / 30.25GiB,89.3kB / 1.73MB
quirky_austin,0.08%,1.638GiB / 30.25GiB,10.1MB / 9.62MB
backend-b-1,0.14%,430.7MiB / 30.25GiB,9.25MB / 9.99MB
backend-a-1,0.18%,801.2MiB / 30.25GiB,9.72MB / 10.6MB
grafana,1.05%,79.41MiB / 30.25GiB,74.6kB / 115kB
prometheus,0.06%,52.43MiB / 30.25GiB,3.29MB / 3.15MB
myservice,0.14%,589.1MiB / 30.25GiB,82.4kB / 1.53MB
node-exporter,1.57%,14.81MiB / 30.25GiB,90kB / 1.75MB
quirky_austin,0.09%,1.639GiB / 30.25GiB,10.1MB / 9.62MB
backend-b-1,0.10%,430.7MiB / 30.25GiB,9.25MB / 9.99MB
backend-a-1,0.12%,801.2MiB / 30.25GiB,9.72MB / 10.6MB
grafana,1.02%,79.41MiB / 30.25GiB,74.7kB / 115kB
prometheus,0.00%,52.43MiB / 30.25GiB,3.3MB / 3.15MB
myservice,0.12%,589.2MiB / 30.25GiB,83.1kB / 1.54MB
node-exporter,0.00%,14.58MiB / 30.25GiB,90kB / 1.75MB
quirky_austin,0.12%,1.639GiB / 30.25GiB,10.1MB / 9.62MB
backend-b-1,0.10%,430.7MiB / 30.25GiB,9.25MB / 9.99MB
backend-a-1,0.14%,801.2MiB / 30.25GiB,9.72MB / 10.6MB
grafana,1.06%,79.41MiB / 30.25GiB,74.7kB / 115kB
prometheus,0.10%,52.43MiB / 30.25GiB,3.33MB / 3.15MB
myservice,8.40%,589.4MiB / 30.25GiB,83.8kB / 1.55MB
node-exporter,0.00%,13.84MiB / 30.25GiB,90.8kB / 1.76MB
quirky_austin,0.11%,1.639GiB / 30.25GiB,10.1MB / 9.62MB
backend-b-1,0.14%,430.7MiB / 30.25GiB,9.25MB / 9.99MB
backend-a-1,0.12%,801.4MiB / 30.25GiB,9.72MB / 10.6MB
grafana,0.94%,79.41MiB / 30.25GiB,74.9kB / 115kB
prometheus,0.80%,52.44MiB / 30.25GiB,3.34MB / 3.15MB
myservice,0.11%,589.4MiB / 30.25GiB,83.8kB / 1.55MB
node-exporter,0.00%,13.84MiB / 30.25GiB,90.8kB / 1.76MB
quirky_austin,0.09%,1.639GiB / 30.25GiB,10.1MB / 9.62MB
backend-b-1,2.23%,431.2MiB / 30.25GiB,9.25MB / 9.99MB
backend-a-1,0.20%,801.3MiB / 30.25GiB,9.72MB / 10.6MB
grafana,1.03%,79.41MiB / 30.25GiB,75kB / 115kB
prometheus,0.00%,52.43MiB / 30.25GiB,3.35MB / 3.16MB
myservice,0.17%,589.3MiB / 30.25GiB,84.5kB / 1.57MB
node-exporter,0.00%,13.86MiB / 30.25GiB,91.5kB / 1.78MB
quirky_austin,0.09%,1.639GiB / 30.25GiB,10.1MB / 9.62MB
backend-b-1,0.57%,431.9MiB / 30.25GiB,9.25MB / 9.99MB
backend-a-1,0.12%,801.3MiB / 30.25GiB,9.72MB / 10.6MB
grafana,1.13%,79.41MiB / 30.25GiB,75kB / 115kB
prometheus,0.00%,52.44MiB / 30.25GiB,3.37MB / 3.16MB
myservice,0.09%,589.3MiB / 30.25GiB,84.5kB / 1.57MB
node-exporter,0.00%,13.68MiB / 30.25GiB,92.2kB / 1.79MB
quirky_austin,0.09%,1.639GiB / 30.25GiB,10.1MB / 9.62MB
backend-b-1,0.09%,431.2MiB / 30.25GiB,9.25MB / 9.99MB
backend-a-1,0.14%,801.3MiB / 30.25GiB,9.72MB / 10.6MB
grafana,1.21%,79.41MiB / 30.25GiB,75.2kB / 116kB
prometheus,0.58%,52.68MiB / 30.25GiB,3.38MB / 3.16MB
myservice,0.10%,589.4MiB / 30.25GiB,85.2kB / 1.58MB
node-exporter,0.00%,13.68MiB / 30.25GiB,92.2kB / 1.79MB
